,TEAM_ID,STANDINGSDATE,TEAM,CONFERENCE
8235,1610612748,2022-04-02,Miami,East
8236,1610612749,2022-04-02,Milwaukee,East
8237,1610612738,2022-04-02,Boston,East
8238,1610612755,2022-04-02,Philadelphia,East
8239,1610612761,2022-04-02,Toronto,East
8240,1610612741,2022-04-02,Chicago,East
8241,1610612739,2022-04-02,Cleveland,East
8242,1610612737,2022-04-02,Atlanta,East
8243,1610612751,2022-04-02,Brooklyn,East
8244,1610612766,2022-04-02,Charlotte,East
8245,1610612764,2022-04-02,Washington,East
8246,1610612752,2022-04-02,New York,East
8247,1610612754,2022-04-02,Indiana,East
8248,1610612765,2022-04-02,Detroit,East
8249,1610612753,2022-04-02,Orlando,East
19050,1610612751,2021-04-02,Brooklyn,East
19051,1610612755,2021-04-02,Philadelphia,East
19052,1610612749,2021-04-02,Milwaukee,East
19053,1610612766,2021-04-02,Charlotte,East
19054,1610612737,2021-04-02,Atlanta,East
19055,1610612748,2021-04-02,Miami,East
19056,1610612738,2021-04-02,Boston,East
19057,1610612752,2021-04-02,New York,East
19058,1610612754,2021-04-02,Indiana,East
19059,1610612741,2021-04-02,Chicago,East
19060,1610612761,2021-04-02,Toronto,East
19061,1610612764,2021-04-02,Washington,East
19062,1610612739,2021-04-02,Cleveland,East
19063,1610612753,2021-04-02,Orlando,East
19064,1610612765,2021-04-02,Detroit,East
30329,1610612749,2020-04-02,Milwaukee,East
30330,1610612761,2020-04-02,Toronto,East
30331,1610612738,2020-04-02,Boston,East
30332,1610612748,2020-04-02,Miami,East
30333,1610612754,2020-04-02,Indiana,East
30334,1610612755,2020-04-02,Philadelphia,East
30335,1610612751,2020-04-02,Brooklyn,East
30336,1610612753,2020-04-02,Orlando,East
30337,1610612764,2020-04-02,Washington,East
30338,1610612766,2020-04-02,Charlotte,East
30339,1610612741,2020-04-02,Chicago,East
30340,1610612752,2020-04-02,New York,East
30341,1610612765,2020-04-02,Detroit,East
30342,1610612737,2020-04-02,Atlanta,East
30343,1610612739,2020-04-02,Cleveland,East
185217,1610612749,2019-04-02,Milwaukee,East
185218,1610612761,2019-04-02,Toronto,East
185219,1610612755,2019-04-02,Philadelphia,East
185220,1610612738,2019-04-02,Boston,East
185221,1610612754,2019-04-02,Indiana,East
185222,1610612765,2019-04-02,Detroit,East
185223,1610612751,2019-04-02,Brooklyn,East
185224,1610612748,2019-04-02,Miami,East
185225,1610612753,2019-04-02,Orlando,East
185226,1610612766,2019-04-02,Charlotte,East
185227,1610612764,2019-04-02,Washington,East
185228,1610612737,2019-04-02,Atlanta,East
185229,1610612741,2019-04-02,Chicago,East
185230,1610612739,2019-04-02,Cleveland,East
185231,1610612752,2019-04-02,New York,East
190692,1610612761,2018-04-02,Toronto,East
190693,1610612738,2018-04-02,Boston,East
190694,1610612739,2018-04-02,Cleveland,East
190695,1610612755,2018-04-02,Philadelphia,East
190696,1610612754,2018-04-02,Indiana,East
190697,1610612764,2018-04-02,Washington,East
190698,1610612748,2018-04-02,Miami,East
190699,1610612749,2018-04-02,Milwaukee,East
190700,1610612765,2018-04-02,Detroit,East
190701,1610612766,2018-04-02,Charlotte,East
190702,1610612752,2018-04-02,New York,East
190703,1610612741,2018-04-02,Chicago,East
190704,1610612751,2018-04-02,Brooklyn,East
190705,1610612753,2018-04-02,Orlando,East
190706,1610612737,2018-04-02,Atlanta,East
196167,1610612738,2017-04-02,Boston,East
196168,1610612739,2017-04-02,Cleveland,East
196169,1610612761,2017-04-02,Toronto,East
196170,1610612764,2017-04-02,Washington,East
196171,1610612749,2017-04-02,Milwaukee,East
196172,1610612737,2017-04-02,Atlanta,East
196173,1610612741,2017-04-02,Chicago,East
196174,1610612754,2017-04-02,Indiana,East
196175,1610612748,2017-04-02,Miami,East
196176,1610612766,2017-04-02,Charlotte,East
196177,1610612765,2017-04-02,Detroit,East
196178,1610612752,2017-04-02,New York,East
196179,1610612755,2017-04-02,Philadelphia,East
196180,1610612753,2017-04-02,Orlando,East
196181,1610612751,2017-04-02,Brooklyn,East
201642,1610612739,2016-04-02,Cleveland,East
201643,1610612761,2016-04-02,Toronto,East
201644,1610612766,2016-04-02,Charlotte,East
201645,1610612737,2016-04-02,Atlanta,East
201646,1610612738,2016-04-02,Boston,East
201647,1610612748,2016-04-02,Miami,East
201648,1610612765,2016-04-02,Detroit,East
201649,1610612754,2016-04-02,Indiana,East
201650,1610612741,2016-04-02,Chicago,East
201651,1610612764,2016-04-02,Washington,East
201652,1610612749,2016-04-02,Milwaukee,East
201653,1610612753,2016-04-02,Orlando,East
201654,1610612752,2016-04-02,New York,East
201655,1610612751,2016-04-02,Brooklyn,East
201656,1610612755,2016-04-02,Philadelphia,East
207132,1610612737,2015-04-02,Atlanta,East
207133,1610612739,2015-04-02,Cleveland,East
207134,1610612741,2015-04-02,Chicago,East
207135,1610612761,2015-04-02,Toronto,East
207136,1610612764,2015-04-02,Washington,East
207137,1610612749,2015-04-02,Milwaukee,East
207138,1610612751,2015-04-02,Brooklyn,East
207139,1610612738,2015-04-02,Boston,East
207140,1610612748,2015-04-02,Miami,East
207141,1610612766,2015-04-02,Charlotte,East
207142,1610612754,2015-04-02,Indiana,East
207143,1610612765,2015-04-02,Detroit,East
207144,1610612753,2015-04-02,Orlando,East
207145,1610612755,2015-04-02,Philadelphia,East
207146,1610612752,2015-04-02,New York,East
124002,1610612748,2014-04-02,Miami,East
124003,1610612754,2014-04-02,Indiana,East
124004,1610612741,2014-04-02,Chicago,East
124005,1610612761,2014-04-02,Toronto,East
124006,1610612751,2014-04-02,Brooklyn,East
124007,1610612764,2014-04-02,Washington,East
124008,1610612766,2014-04-02,Charlotte,East
124009,1610612752,2014-04-02,New York,East
124010,1610612737,2014-04-02,Atlanta,East
